376.170	358.958	355.081	375.767	455.389	555.876	640.585	698.124	737.022	762.158	777.858	787.403	793.075	796.380	798.269	799.329	799.911	800.223	800.385	800.467	800.507	800.528	800.541	771.195	690.934	587.022	487.498	437.986	404.815	385.236	378.852	376.170
																															
406.514	361.657	367.875	409.145	482.287	561.937	633.997	688.107	727.255	754.171	771.953	783.329	790.415	794.728	797.300	798.803	799.665	800.149	800.413	800.555	800.628	800.666	784.622	736.321	661.158	579.564	502.248	453.865	419.694	399.319	393.728	406.514
																															
409.893	361.295	374.307	419.615	489.440	566.222	636.093	689.512	728.659	755.629	773.334	784.517	791.361	795.437	797.808	799.155	799.902	800.303	800.510	800.608	800.647	800.654	778.288	725.707	653.189	577.553	508.239	458.799	423.303	402.026	396.385	409.893
																															
410.498	360.591	374.999	420.179	489.261	566.269	636.338	689.695	728.818	755.725	773.349	784.462	791.256	795.305	797.663	799.006	799.751	800.150	800.352	800.444	800.476	800.474	776.145	722.672	651.213	577.575	510.696	460.600	424.524	402.841	396.992	410.498
																															
410.734	359.773	373.712	417.941	486.798	564.540	635.455	689.129	728.477	755.518	773.211	784.352	791.154	795.199	797.548	798.880	799.614	800.003	800.198	800.285	800.314	800.312	775.206	721.550	650.657	577.898	511.812	461.400	425.064	403.198	397.246	410.734
																															
410.844	358.960	371.990	415.164	483.870	562.339	634.282	688.436	728.095	755.310	773.085	784.256	791.061	795.099	797.439	798.762	799.490	799.877	800.072	800.161	800.193	800.196	774.735	721.055	650.476	578.150	512.373	461.798	425.331	403.372	397.367	410.844
																															
410.897	358.202	370.283	412.448	480.985	560.073	633.067	687.724	727.699	755.088	772.947	784.152	790.968	795.007	797.344	798.666	799.395	799.784	799.982	800.076	800.113	800.121	774.493	720.827	650.425	578.321	512.675	462.011	425.473	403.463	397.427	410.897
																															
410.921	357.513	368.716	409.943	478.264	557.850	631.872	687.013	727.293	754.854	772.801	784.047	790.881	794.927	797.268	798.592	799.324	799.717	799.920	800.018	800.060	800.072	774.368	720.728	650.428	578.441	512.848	462.131	425.552	403.512	397.458	410.921
																															
410.931	356.896	367.317	407.672	475.724	555.699	630.719	686.317	726.889	754.618	772.655	783.947	790.802	794.859	797.207	798.536	799.272	799.669	799.876	799.978	800.024	800.041	774.307	720.695	650.457	578.528	512.950	462.200	425.596	403.538	397.473	410.931
																															
410.932	356.346	366.083	405.626	473.360	553.629	629.619	685.647	726.498	754.390	772.516	783.853	790.733	794.802	797.157	798.492	799.233	799.634	799.845	799.950	800.000	800.019	774.281	720.697	650.496	578.595	513.012	462.241	425.620	403.551	397.478	410.932
																															
410.928	355.858	365.001	403.784	471.160	551.643	628.577	685.012	726.126	754.174	772.386	783.769	790.672	794.754	797.117	798.457	799.202	799.607	799.821	799.930	799.982	800.004	774.275	720.719	650.540	578.649	513.049	462.263	425.632	403.556	397.478	410.928
																															
410.921	355.426	364.054	402.123	469.113	549.745	627.597	684.417	725.780	753.974	772.267	783.693	790.619	794.714	797.084	798.429	799.178	799.586	799.803	799.914	799.969	799.994	774.282	720.751	650.586	578.692	513.071	462.275	425.637	403.556	397.475	410.921
																															
410.913	355.043	363.224	400.623	467.208	547.935	626.680	683.863	725.460	753.791	772.159	783.626	790.573	794.680	797.057	798.407	799.159	799.570	799.789	799.903	799.959	799.986	774.296	720.789	650.631	578.728	513.082	462.279	425.637	403.554	397.469	410.913
																															
410.903	354.704	362.498	399.266	465.436	546.214	625.826	683.351	725.167	753.626	772.063	783.567	790.533	794.651	797.034	798.388	799.143	799.556	799.778	799.893	799.952	799.980	774.314	720.829	650.675	578.759	513.086	462.279	425.634	403.549	397.463	410.903
																															
410.893	354.405	361.861	398.037	463.790	544.584	625.033	682.881	724.901	753.477	771.978	783.515	790.499	794.626	797.015	798.372	799.130	799.546	799.769	799.886	799.946	799.975	774.334	720.870	650.716	578.785	513.086	462.276	425.630	403.544	397.456	410.893
																															
410.883	354.142	361.302	396.923	462.261	543.045	624.300	682.451	724.660	753.344	771.903	783.470	790.470	794.605	796.999	798.359	799.119	799.537	799.762	799.880	799.941	799.972	774.355	720.910	650.756	578.808	513.083	462.270	425.624	403.538	397.449	410.883
																															
410.873	353.911	360.810	395.911	460.845	541.598	623.626	682.060	724.444	753.226	771.838	783.432	790.445	794.587	796.985	798.348	799.111	799.530	799.756	799.876	799.938	799.969	774.377	720.949	650.793	578.828	513.078	462.264	425.617	403.532	397.442	410.873
																															
410.864	353.709	360.377	394.994	459.536	540.244	623.007	681.705	724.250	753.122	771.780	783.398	790.424	794.573	796.974	798.339	799.103	799.523	799.751	799.872	799.935	799.967	774.398	720.986	650.827	578.846	513.072	462.257	425.611	403.525	397.435	410.864
																															
410.855	353.533	359.996	394.163	458.331	538.983	622.442	681.385	724.077	753.030	771.731	783.370	790.406	794.560	796.964	798.332	799.097	799.518	799.747	799.869	799.932	799.965	774.418	721.021	650.859	578.862	513.065	462.249	425.604	403.519	397.428	410.855
																															
410.847	353.380	359.662	393.412	457.226	537.817	621.930	681.097	723.924	752.950	771.688	783.346	790.391	794.550	796.956	798.325	799.092	799.514	799.743	799.866	799.930	799.964	774.437	721.054	650.888	578.876	513.058	462.242	425.597	403.513	397.422	410.847
																															
410.839	353.249	359.368	392.735	456.218	536.746	621.467	680.841	723.788	752.880	771.652	783.326	790.378	794.541	796.950	798.320	799.087	799.511	799.741	799.864	799.929	799.963	774.455	721.084	650.915	578.888	513.051	462.235	425.591	403.508	397.416	410.839
																															
410.833	353.137	359.111	392.127	455.305	535.770	621.052	680.614	723.670	752.820	771.621	783.309	790.368	794.534	796.944	798.316	799.084	799.508	799.738	799.862	799.928	799.962	774.471	721.112	650.939	578.898	513.043	462.228	425.585	403.502	397.411	410.833
																															
